Code,Opština,Nemačka,Godina
71226,CRNA TRAVA,0,1991
70335,BOSILEGRAD,5.88,1991
70491,DESPOTOVAC,6.14,1991
70017,ALEKSANDROVAC,7.89,1991
70394,VELIKO GRADIŠTE,7.91,1991
71200,ĆUPRIJA,8.77,1991
70785,MAJDANPEK,9.19,1991
70807,MALO CRNIĆE,10.09,1991
70696,KUČEVO,10.36,1991
70475,GOLUBAC,10.52,1991
80098,BELA CRKVA,10.53,1991
71161,TRGOVIŠTE,11.11,1991
71129,SOKOBANJA,11.9,1991
70521,ŽABARI,12.01,1991
70408,VLADIMIRCI,12.57,1991
70912,PETROVAC,12.6,1991
70319,BOLJEVAC,13.76,1991
70637,KOCELJEVA,13.85,1991
71005,RAŽANJ,13.91,1991
71013,RAČA,14.2,1991
70343,BRUS,14.66,1991
70815,MEDVEĐA,14.77,1991
71056,SVILAJNAC,15.01,1991
70076,BATOČINA,15.34,1991
80039,ALIBUNAR,15.35,1991
71021,RAŠKA,15.57,1991
70572,KLADOVO,15.58,1991
70947,POŽAREVAC,16.81,1991
70068,BAJINA BAŠTA,17.08,1991
70238,BEOGRAD-SOPOT,17.69,1991
71218,UB,18.07,1991
70386,VELIKA PLANA,18.62,1991
80349,PLANDIŠTE,18.83,1991
70289,BOGATIĆ,18.84,1991
70190,BEOGRAD-OBRENOVAC,18.85,1991
70467,GADŽIN HAN,19,1991
70718,LEBANE,19.89,1991
70599,KNIĆ,19.92,1991
70904,PARAĆIN,20.32,1991
80128,VRŠAC,20.68,1991
71170,TRSTENIK,20.73,1991
71153,TOPOLA,20.98,1991
70530,ŽAGUBICA,21.23,1991
71048,JAGODINA (Svetozarevo),21.54,1991
70041,ARILJE,22.33,1991
71030,REKOVAC,22.49,1991
70327,BOR,22.58,1991
71102,SMEDEREVSKA PALANKA,22.61,1991
70424,VLASOTINCE,22.68,1991
71099,SMEDEREVO,22.83,1991
70297,BOJNIK,23.12,1991
70777,LJUBOVIJA,23.56,1991
70564,IVANJICA,24.18,1991
70033,ARANĐELOVAC,24.8,1991
70955,POŽEGA,25.39,1991
70840,NEGOTIN,25.81,1991
70963,PREŠEVO,26.27,1991
80225,KOVIN,26.29,1991
70025,ALEKSINAC,26.65,1991
70726,LESKOVAC,26.72,1991
